HSY,2018-05-01T16:00:00,2018-10-19T16:00:00
FMC,2018-05-07T16:00:00,2018-10-25T16:00:00
TROW,2018-04-30T16:00:00,2018-10-18T16:00:00
JPM,2018-04-18T16:00:00,2018-10-08T16:00:00
DRI,2017-09-25T16:00:00,2018-03-19T16:00:00
PGR,2018-04-20T16:00:00,2018-10-10T16:00:00
C,2018-04-18T16:00:00,2018-10-08T16:00:00
AAPL,2018-02-02T16:00:00,2018-07-26T16:00:00
TDG,2018-02-02T16:00:00,2018-07-26T16:00:00
KMX,2017-06-28T16:00:00,2017-12-18T16:00:00
VNO,2018-05-03T16:00:00,2018-10-23T16:00:00
DLR,2018-05-01T16:00:00,2018-10-19T16:00:00
OMC,2018-04-20T16:00:00,2018-10-10T16:00:00
UNH,2018-04-20T16:00:00,2018-10-10T16:00:00
WDC,2017-10-27T16:00:00,2018-04-23T16:00:00
ULTA,2017-05-31T16:00:00,2017-11-17T16:00:00
EVRG,2018-05-14T16:00:00,2018-11-01T16:00:00
KIM,2018-05-01T16:00:00,2018-10-19T16:00:00
MCD,2018-05-01T16:00:00,2018-10-19T16:00:00
UHS,2018-04-30T16:00:00,2018-10-18T16:00:00
APTV,2018-05-04T16:00:00,2018-10-24T16:00:00
CFG,2018-04-25T16:00:00,2018-10-15T16:00:00
FRC,2018-04-18T16:00:00,2018-10-08T16:00:00
HCP,2018-05-08T16:00:00,2018-10-26T16:00:00
XYL,2018-05-04T16:00:00,2018-10-24T16:00:00
SCHW,2018-04-20T16:00:00,2018-10-10T16:00:00
TGT,2017-05-22T16:00:00,2017-11-09T16:00:00
TRIP,2018-05-07T16:00:00,2018-10-25T16:00:00
UNM,2018-05-03T16:00:00,2018-10-23T16:00:00
WAB,2018-04-27T16:00:00,2018-10-17T16:00:00
ABT,2018-04-23T16:00:00,2018-10-11T16:00:00
DAL,2018-04-17T16:00:00,2018-10-05T16:00:00
CTAS,2017-09-27T16:00:00,2018-03-21T16:00:00
LUV,2018-05-01T16:00:00,2018-10-19T16:00:00
PNR,2018-04-30T16:00:00,2018-10-18T16:00:00
INTU,2017-11-24T16:00:00,2018-05-18T16:00:00
PVH,2017-05-30T16:00:00,2017-11-16T16:00:00
CERN,2018-05-08T16:00:00,2018-10-26T16:00:00
MRK,2018-05-02T16:00:00,2018-10-22T16:00:00
