ED,2018/8/2,0.61,0.552,10.5,2018-05-08T16:00:00,2018-10-26T16:00:00
EOG,2018/8/2,1.37,1.244,10.1,2018-05-08T16:00:00,2018-10-26T16:00:00
ETR,2018/8/1,1.79,1.301,37.6,2018-05-07T16:00:00,2018-10-25T16:00:00
EXC,2018/8/2,0.71,0.613,15.8,2018-05-08T16:00:00,2018-10-26T16:00:00
EXPE,2018/7/26,1.38,0.889,55.2,2018-05-01T16:00:00,2018-10-19T16:00:00
FCX,2018/7/25,0.58,0.527,10.1,2018-04-30T16:00:00,2018-10-18T16:00:00
FDX,2017/12/19,3.18,2.885,10.2,2017-09-25T16:00:00,2018-03-19T16:00:00
FE,2018/7/31,0.62,0.523,18.5,2018-05-04T16:00:00,2018-10-24T16:00:00
FITB,2018/7/19,0.63,0.571,10.3,2018-04-24T16:00:00,2018-10-12T16:00:00
FLIR,2018/7/25,0.55,0.488,12.7,2018-04-30T16:00:00,2018-10-18T16:00:00
FLR,2018/8/2,0.81,0.705,14.9,2018-05-08T16:00:00,2018-10-26T16:00:00
FLS,2018/8/8,0.41,0.334,22.8,2018-05-14T16:00:00,2018-11-01T16:00:00
FTNT,2018/8/1,0.41,0.354,15.8,2018-05-07T16:00:00,2018-10-25T16:00:00
GE,2018/7/20,0.19,0.176,8,2018-04-25T16:00:00,2018-10-15T16:00:00
GILD,2018/7/25,1.91,1.563,22.2,2018-04-30T16:00:00,2018-10-18T16:00:00
GOOGL,2018/7/23,10.58,9.502,11.3,2018-04-26T16:00:00,2018-10-16T16:00:00
GPS,2017/8/17,0.58,0.523,11.7,2017-05-23T16:00:00,2017-11-10T16:00:00
GRMN,2018/8/1,0.99,0.868,14.1,2018-05-07T16:00:00,2018-10-25T16:00:00
GS,2018/7/17,5.98,4.658,28.4,2018-04-20T16:00:00,2018-10-10T16:00:00
GWW,2018/7/18,4.37,3.705,17.9,2018-04-23T16:00:00,2018-10-11T16:00:00
HAS,2018/7/23,0.48,0.285,67.5,2018-04-26T16:00:00,2018-10-16T16:00:00
HES,2018/7/25,-0.23,-0.303,24.1,2018-04-30T16:00:00,2018-10-18T16:00:00
HII,2018/8/2,5.4,4.141,30.4,2018-05-08T16:00:00,2018-10-26T16:00:00
HOG,2018/7/24,1.52,1.412,7.6,2018-04-27T16:00:00,2018-10-17T16:00:00
HP,2018/4/26,-0.04,-0.047,25.5,2018-01-30T16:00:00,2018-07-23T16:00:00
HPE,2018/5/22,0.34,0.307,10.7,2018-02-26T16:00:00,2018-08-16T16:00:00
HRS,2018/1/30,1.67,1.383,20.8,2017-11-01T16:00:00,2018-04-26T16:00:00
ILMN,2018/7/30,1.43,1.114,28.4,2018-05-03T16:00:00,2018-10-23T16:00:00
INTC,2018/7/26,1.04,0.964,7.9,2018-05-01T16:00:00,2018-10-19T16:00:00
IP,2018/7/26,1.19,1.085,9.7,2018-05-01T16:00:00,2018-10-19T16:00:00
IT,2018/8/1,1.03,0.958,7.5,2018-05-07T16:00:00,2018-10-25T16:00:00
JBHT,2018/7/16,1.37,1.269,8,2018-04-19T16:00:00,2018-10-09T16:00:00
JEC,2018/5/8,1,0.878,13.9,2018-02-09T16:00:00,2018-08-02T16:00:00
JEF,2018/7/26,0.08,-0.17,147.1,2018-05-01T16:00:00,2018-10-19T16:00:00
JNPR,2018/7/26,0.48,0.438,9.6,2018-05-01T16:00:00,2018-10-19T16:00:00
K,2018/8/2,1.14,1.051,8.5,2018-05-08T16:00:00,2018-10-26T16:00:00
KEY,2018/7/19,0.46,0.416,9.5,2018-04-24T16:00:00,2018-10-12T16:00:00
KHC,2018/8/3,1,0.916,9.2,2018-05-09T16:00:00,2018-10-29T16:00:00
KLAC,2018/1/25,1.97,1.741,13.2,2017-10-27T16:00:00,2018-04-23T16:00:00
KMI,2018/7/18,0.21,0.191,9.9,2018-04-23T16:00:00,2018-10-11T16:00:00
L,2018/7/30,0.81,0.73,10.8,2018-05-03T16:00:00,2018-10-23T16:00:00
LEN,2018/6/26,1.58,0.438,260.7,2018-04-02T16:00:00,2018-09-20T16:00:00
LLY,2018/7/24,1.5,1.296,15.7,2018-04-27T16:00:00,2018-10-17T16:00:00
LMT,2018/7/24,4.31,3.922,9.9,2018-04-27T16:00:00,2018-10-17T16:00:00
LRCX,2018/1/24,4.34,3.688,17.7,2017-10-26T16:00:00,2018-04-20T16:00:00
LYB,2018/8/3,3.34,2.909,14.8,2018-05-09T16:00:00,2018-10-29T16:00:00
MA,2018/7/26,1.66,1.533,8.3,2018-05-01T16:00:00,2018-10-19T16:00:00
MAR,2018/8/6,1.73,1.367,26.6,2018-05-10T16:00:00,2018-10-30T16:00:00
MCK,2017/10/26,3.28,2.797,17.3,2017-08-02T16:00:00,2018-01-24T16:00:00
MCO,2018/7/27,2.04,1.876,8.7,2018-05-02T16:00:00,2018-10-22T16:00:00
MET,2018/8/1,1.3,1.173,10.8,2018-05-07T16:00:00,2018-10-25T16:00:00
MKC,2018/6/28,1.02,0.925,10.3,2018-04-04T16:00:00,2018-09-24T16:00:00
MPC,2018/7/26,2.27,2.033,11.7,2018-05-01T16:00:00,2018-10-19T16:00:00
MS,2018/7/18,1.25,1.11,12.6,2018-04-23T16:00:00,2018-10-11T16:00:00
MSFT,2018/1/31,0.96,0.862,11.4,2017-11-02T16:00:00,2018-04-27T16:00:00
NCLH,2018/8/9,1.21,1.03,17.5,2018-05-15T16:00:00,2018-11-02T16:00:00
NEM,2018/7/26,0.26,0.241,7.9,2018-05-01T16:00:00,2018-10-19T16:00:00
NKE,2017/12/21,0.46,0.403,14.1,2017-09-27T16:00:00,2018-03-21T16:00:00
NOV,2018/7/26,0.06,0.021,200,2018-05-01T16:00:00,2018-10-19T16:00:00
NRG,2018/8/2,0.78,0.663,17.7,2018-05-08T16:00:00,2018-10-26T16:00:00
NTAP,2017/11/15,0.81,0.689,17.6,2017-08-22T16:00:00,2018-02-13T16:00:00
NVDA,2017/8/10,1.01,0.815,23.9,2017-05-16T16:00:00,2017-11-03T16:00:00
NWSA,2018/2/8,0.24,0.186,29,2017-11-10T16:00:00,2018-05-07T16:00:00
PCAR,2018/7/24,1.59,1.421,11.7,2018-04-27T16:00:00,2018-10-17T16:00:00
PFE,2018/7/31,0.81,0.744,8.9,2018-05-04T16:00:00,2018-10-24T16:00:00
PHM,2018/7/26,0.89,0.746,19.3,2018-05-01T16:00:00,2018-10-19T16:00:00
PM,2018/7/19,1.41,1.23,14.6,2018-04-24T16:00:00,2018-10-12T16:00:00
PSX,2018/7/27,2.8,2.186,28.1,2018-05-02T16:00:00,2018-10-22T16:00:00
QCOM,2018/4/25,0.8,0.697,14.8,2018-01-29T16:00:00,2018-07-20T16:00:00
RCL,2018/8/2,2.27,1.992,14,2018-05-08T16:00:00,2018-10-26T16:00:00
REGN,2018/8/2,5.45,4.703,15.9,2018-05-08T16:00:00,2018-10-26T16:00:00
RHT,2017/9/25,0.77,0.671,14.8,2017-06-29T16:00:00,2017-12-19T16:00:00
RMD,2018/1/22,1,0.761,31.4,2017-10-24T16:00:00,2018-04-18T16:00:00
RTN,2018/7/26,2.78,2.345,18.6,2018-05-01T16:00:00,2018-10-19T16:00:00
SEE,2018/8/2,0.64,0.583,9.8,2018-05-08T16:00:00,2018-10-26T16:00:00
SIVB,2018/7/26,4.42,3.877,14.1,2018-05-01T16:00:00,2018-10-19T16:00:00
SO,2018/8/8,0.8,0.684,17,2018-05-14T16:00:00,2018-11-01T16:00:00
SRE,2018/8/6,1.35,1.188,13.6,2018-05-10T16:00:00,2018-10-30T16:00:00
STI,2018/7/20,1.49,1.308,13.9,2018-04-25T16:00:00,2018-10-15T16:00:00
STZ,2017/10/5,2.47,2.165,14.1,2017-07-12T16:00:00,2018-01-02T16:00:00
SWK,2018/7/20,2.57,2.019,27.3,2018-04-25T16:00:00,2018-10-15T16:00:00
SYF,2018/7/27,0.92,0.82,12.2,2018-05-02T16:00:00,2018-10-22T16:00:00
SYY,2018/2/5,0.78,0.647,20.6,2017-11-07T16:00:00,2018-05-02T16:00:00
