HLT,2018-04-30T16:00:00,2018-10-18T16:00:00
NUE,2018-04-24T16:00:00,2018-10-12T16:00:00
KEYS,2018-03-05T16:00:00,2018-08-23T16:00:00
PAYX,2017-09-27T16:00:00,2018-03-21T16:00:00
KR,2017-06-14T16:00:00,2017-12-04T16:00:00
WLTW,2018-05-08T16:00:00,2018-10-26T16:00:00
HAL,2018-04-26T16:00:00,2018-10-16T16:00:00
HOLX,2018-02-05T16:00:00,2018-07-27T16:00:00
JKHY,2017-11-08T16:00:00,2018-05-03T16:00:00
EBAY,2018-04-23T16:00:00,2018-10-11T16:00:00
BLL,2018-05-08T16:00:00,2018-10-26T16:00:00
MMC,2018-05-01T16:00:00,2018-10-19T16:00:00
AIV,2018-05-08T16:00:00,2018-10-26T16:00:00
PSA,2018-05-07T16:00:00,2018-10-25T16:00:00
AJG,2018-05-01T16:00:00,2018-10-19T16:00:00
HBI,2018-05-07T16:00:00,2018-10-25T16:00:00
PFG,2018-05-01T16:00:00,2018-10-19T16:00:00
FBHS,2018-05-01T16:00:00,2018-10-19T16:00:00
WU,2018-05-08T16:00:00,2018-10-26T16:00:00
PRU,2018-05-07T16:00:00,2018-10-25T16:00:00
IPGP,2018-05-04T16:00:00,2018-10-24T16:00:00
MAS,2018-05-04T16:00:00,2018-10-24T16:00:00
MLM,2018-05-01T16:00:00,2018-10-19T16:00:00
REG,2018-05-08T16:00:00,2018-10-26T16:00:00
ZION,2018-04-26T16:00:00,2018-10-16T16:00:00
RSG,2018-05-01T16:00:00,2018-10-19T16:00:00
TSN,2018-02-08T16:00:00,2018-08-01T16:00:00
FANG,2018-05-14T16:00:00,2018-11-01T16:00:00
LOW,2017-05-30T16:00:00,2017-11-16T16:00:00
HRL,2018-02-28T16:00:00,2018-08-20T16:00:00
XEC,2018-05-11T16:00:00,2018-10-31T16:00:00
PYPL,2018-04-30T16:00:00,2018-10-18T16:00:00
MGM,2018-05-08T16:00:00,2018-10-26T16:00:00
LNC,2018-05-07T16:00:00,2018-10-25T16:00:00
XRX,2018-05-01T16:00:00,2018-10-19T16:00:00
ROL,2018-04-30T16:00:00,2018-10-18T16:00:00
AZO,2017-11-29T16:00:00,2018-05-23T16:00:00
ISRG,2018-04-24T16:00:00,2018-10-12T16:00:00
COST,2017-12-07T16:00:00,2018-06-01T16:00:00
LNT,2018-05-08T16:00:00,2018-10-26T16:00:00
DE,2018-02-22T16:00:00,2018-08-14T16:00:00
CLX,2017-11-06T16:00:00,2018-05-01T16:00:00
PXD,2018-05-11T16:00:00,2018-10-31T16:00:00
SYMC,2017-08-08T16:00:00,2018-01-30T16:00:00
DVN,2018-05-04T16:00:00,2018-10-24T16:00:00
CNP,2018-05-09T16:00:00,2018-10-29T16:00:00
EQIX,2018-05-14T16:00:00,2018-11-01T16:00:00
AMT,2018-05-04T16:00:00,2018-10-24T16:00:00
APC,2018-05-04T16:00:00,2018-10-24T16:00:00
OXY,2018-05-14T16:00:00,2018-11-01T16:00:00
CVX,2018-05-02T16:00:00,2018-10-22T16:00:00
DUK,2018-05-08T16:00:00,2018-10-26T16:00:00
CMI,2018-05-04T16:00:00,2018-10-24T16:00:00
VMC,2018-05-04T16:00:00,2018-10-24T16:00:00
MHK,2018-04-30T16:00:00,2018-10-18T16:00:00
AES,2018-05-11T16:00:00,2018-10-31T16:00:00
HFC,2018-05-08T16:00:00,2018-10-26T16:00:00
F,2018-04-30T16:00:00,2018-10-18T16:00:00
WFC,2018-04-18T16:00:00,2018-10-08T16:00:00
MYL,2018-05-14T16:00:00,2018-11-01T16:00:00
NLSN,2018-05-01T16:00:00,2018-10-19T16:00:00
AIG,2018-05-08T16:00:00,2018-10-26T16:00:00
WHR,2018-04-26T16:00:00,2018-10-16T16:00:00
ADS,2018-04-24T16:00:00,2018-10-12T16:00:00
TWTR,2018-05-02T16:00:00,2018-10-22T16:00:00
WYNN,2018-05-07T16:00:00,2018-10-25T16:00:00
FFIV,2018-01-29T16:00:00,2018-07-20T16:00:00
DISCA,2018-05-11T16:00:00,2018-10-31T16:00:00
NBL,2018-05-09T16:00:00,2018-10-29T16:00:00
MRO,2018-05-07T16:00:00,2018-10-25T16:00:00
NI,2018-05-07T16:00:00,2018-10-25T16:00:00
TRV,2018-04-24T16:00:00,2018-10-12T16:00:00
TSS,2018-04-27T16:00:00,2018-10-17T16:00:00
XOM,2018-05-02T16:00:00,2018-10-22T16:00:00
BHGE,2018-04-25T16:00:00,2018-10-15T16:00:00
FTI,2018-04-30T16:00:00,2018-10-18T16:00:00
CDNS,2018-04-26T16:00:00,2018-10-16T16:00:00
FL,2017-05-24T16:00:00,2017-11-13T16:00:00
INCY,2018-05-04T16:00:00,2018-10-24T16:00:00
COG,2018-05-02T16:00:00,2018-10-22T16:00:00
CTXS,2018-04-30T16:00:00,2018-10-18T16:00:00
SBAC,2018-05-03T16:00:00,2018-10-23T16:00:00
ALXN,2018-05-01T16:00:00,2018-10-19T16:00:00
MAT,2018-04-30T16:00:00,2018-10-18T16:00:00
ALXN,2018-05-03T16:00:00,2018-10-18T16:00:00
MAT,2018-05-02T16:00:00,2018-10-17T16:00:00
